Date,Site,State,Latitude,Longitude,PM2.5,PM10,NH3,SO2,AQI
2022-01-01,Alipur,Delhi,28.815691,77.15301,222.29,354.54,3.12,7.67,480
2022-01-02,Alipur,Delhi,28.815691,77.15301,233.46,346.61,3.41,12.78,474
2022-01-03,Alipur,Delhi,28.815691,77.15301,235.69,370.61,3.49,8.48,492
2022-01-04,Alipur,Delhi,28.815691,77.15301,231.05,364.12,3.53,7.65,487
2022-01-05,Alipur,Delhi,28.815691,77.15301,243.12,324.54,4.02,4.87,457
2022-01-06,Alipur,Delhi,28.815691,77.15301,102.2,150.92,6.78,6.49,323
2022-01-07,Alipur,Delhi,28.815691,77.15301,66.12,92.04,4.86,5.64,206
2022-01-08,Alipur,Delhi,28.815691,77.15301,38.97,48.16,5.08,5.02,80
2022-01-09,Alipur,Delhi,28.815691,77.15301,33.24,42.69,4.8,4.42,71
2022-01-10,Alipur,Delhi,28.815691,77.15301,69.37,104.83,4.64,8.39,249
2022-01-11,Alipur,Delhi,28.815691,77.15301,59.71,94.76,4.58,5.43,215
2022-01-12,Alipur,Delhi,28.815691,77.15301,95.67,157.78,3.48,6.38,329
2022-01-13,Alipur,Delhi,28.815691,77.15301,139.61,200.38,1.21,6.59,361
2022-01-14,Alipur,Delhi,28.815691,77.15301,114.04,175.0,1.78,5.84,342
2022-01-15,Alipur,Delhi,28.815691,77.15301,82.12,132.15,1.89,5.1,309
2022-01-16,Alipur,Delhi,28.815691,77.15301,104.87,163.41,2.33,4.12,333
2022-01-17,Alipur,Delhi,28.815691,77.15301,158.45,249.84,2.49,4.33,399
2022-01-18,Alipur,Delhi,28.815691,77.15301,159.79,261.83,2.19,4.2,409
2022-01-19,Alipur,Delhi,28.815691,77.15301,150.43,259.34,2.34,5.3,407
2022-01-20,Alipur,Delhi,28.815691,77.15301,203.74,321.53,2.34,6.19,455
2022-01-21,Alipur,Delhi,28.815691,77.15301,165.35,257.46,2.85,5.67,405
2022-01-22,Alipur,Delhi,28.815691,77.15301,121.81,168.89,4.56,6.01,337
2022-01-23,Alipur,Delhi,28.815691,77.15301,82.67,117.61,5.57,5.7,292
2022-01-24,Alipur,Delhi,28.815691,77.15301,84.32,138.85,4.04,5.87,314
2022-01-25,Alipur,Delhi,28.815691,77.15301,79.27,148.04,3.4,5.26,321
2022-01-26,Alipur,Delhi,28.815691,77.15301,102.32,176.77,3.8,4.21,343
2022-01-27,Alipur,Delhi,28.815691,77.15301,97.53,176.83,2.71,5.54,343
2022-01-28,Alipur,Delhi,28.815691,77.15301,86.25,174.51,3.16,8.21,341
2022-01-29,Alipur,Delhi,28.815691,77.15301,109.21,233.22,3.14,7.52,387
2022-01-30,Alipur,Delhi,28.815691,77.15301,116.84,205.78,4.16,9.4,365
2022-01-31,Alipur,Delhi,28.815691,77.15301,179.81,263.58,2.53,4.92,410
2022-02-01,Alipur,Delhi,28.815691,77.15301,162.44,219.41,2.69,7.28,376
2022-02-02,Alipur,Delhi,28.815691,77.15301,156.4,227.91,3.01,6.91,383
2022-02-03,Alipur,Delhi,28.815691,77.15301,117.31,155.86,5.06,6.15,327
2022-02-04,Alipur,Delhi,28.815691,77.15301,47.17,71.47,5.34,6.21,138
2022-02-05,Alipur,Delhi,28.815691,77.15301,89.96,133.5,5.13,5.94,310
2022-02-06,Alipur,Delhi,28.815691,77.15301,147.38,269.17,2.84,7.84,414
2022-02-07,Alipur,Delhi,28.815691,77.15301,128.79,219.96,2.84,7.19,376
2022-02-08,Alipur,Delhi,28.815691,77.15301,138.42,227.54,2.71,8.18,382
2022-02-09,Alipur,Delhi,28.815691,77.15301,69.2,110.69,4.9,5.46,268
2022-02-10,Alipur,Delhi,28.815691,77.15301,68.38,145.69,4.76,5.58,319
2022-02-11,Alipur,Delhi,28.815691,77.15301,66.71,164.78,5.88,7.6,334
2022-02-12,Alipur,Delhi,28.815691,77.15301,83.04,194.17,8.58,9.11,357
2022-02-13,Alipur,Delhi,28.815691,77.15301,118.5,259.21,6.54,8.68,407
2022-02-14,Alipur,Delhi,28.815691,77.15301,137.92,230.67,4.35,6.92,385
2022-02-15,Alipur,Delhi,28.815691,77.15301,120.64,215.53,4.8,7.71,373
2022-02-16,Alipur,Delhi,28.815691,77.15301,144.92,282.0,4.47,10.13,424
2022-02-17,Alipur,Delhi,28.815691,77.15301,120.66,226.09,3.64,7.08,381
2022-02-18,Alipur,Delhi,28.815691,77.15301,135.03,303.41,3.33,9.3,441
2022-02-19,Alipur,Delhi,28.815691,77.15301,81.14,167.34,4.08,8.68,336
2022-02-20,Alipur,Delhi,28.815691,77.15301,81.23,153.47,4.74,9.34,325
2022-02-21,Alipur,Delhi,28.815691,77.15301,86.21,216.08,3.76,9.34,373
2022-02-22,Alipur,Delhi,28.815691,77.15301,120.6,258.88,3.57,13.25,406
2022-02-23,Alipur,Delhi,28.815691,77.15301,113.12,181.31,4.71,10.91,347
2022-02-24,Alipur,Delhi,28.815691,77.15301,150.83,240.92,4.06,8.25,393
2022-02-25,Alipur,Delhi,28.815691,77.15301,119.58,209.68,3.92,8.51,368
2022-02-26,Alipur,Delhi,28.815691,77.15301,17.0,40.93,5.99,5.08,68
2022-02-27,Alipur,Delhi,28.815691,77.15301,35.33,71.08,5.34,9.27,136
2022-02-28,Alipur,Delhi,28.815691,77.15301,43.22,116.0,4.73,8.41,286
2022-03-01,Alipur,Delhi,28.815691,77.15301,84.54,169.71,3.83,8.75,338
2022-03-02,Alipur,Delhi,28.815691,77.15301,96.93,207.8,10.12,9.1,367
2022-03-03,Alipur,Delhi,28.815691,77.15301,94.75,179.88,5.93,13.77,346
2022-03-04,Alipur,Delhi,28.815691,77.15301,65.96,123.62,6.47,9.59,302
2022-03-05,Alipur,Delhi,28.815691,77.15301,54.43,109.51,12.39,9.29,265
2022-03-06,Alipur,Delhi,28.815691,77.15301,68.94500000000001,163.47,12.6575,9.8325,333
2022-03-07,Alipur,Delhi,28.815691,77.15301,94.85,246.94,14.81,14.14,397
2022-03-08,Alipur,Delhi,28.815691,77.15301,116.39,241.46,18.42,12.07,393
2022-03-09,Alipur,Delhi,28.815691,77.15301,64.54,165.48,17.4,13.12,334
2022-03-10,Alipur,Delhi,28.815691,77.15301,63.08,150.71,23.0,14.69,323
2022-03-11,Alipur,Delhi,28.815691,77.15301,72.38,171.38,24.4,13.24,339
2022-03-12,Alipur,Delhi,28.815691,77.15301,82.11,181.02,21.11,19.78,346
2022-03-13,Alipur,Delhi,28.815691,77.15301,110.15,236.0,20.73,21.41,389
