Date,Site,State,Latitude,Longitude,PM2.5,PM10,NH3,SO2,AQI
2024-06-13 09:55:00,Alipur,Delhi,28.815691,77.15301,23.0,277.0,28.6,6.6,421
2024-06-13 10:10:00,Alipur,Delhi,28.815691,77.15301,23.0,277.0,28.4,6.5,421
2024-06-13 10:35:00,Alipur,Delhi,28.815691,77.15301,23.0,277.0,28.5,-1.0,421
2024-06-13 10:55:00,Alipur,Delhi,28.815691,77.15301,29.0,269.0,28.8,6.0,421
2024-06-13 11:10:00,Alipur,Delhi,28.815691,77.15301,29.0,269.0,29.2,5.4,421
2024-06-13 11:40:00,Alipur,Delhi,28.815691,77.15301,29.0,269.0,29.8,4.4,421
2024-06-13 12:00:00,Alipur,Delhi,28.815691,77.15301,24.0,249.0,31.4,4.4,403
2024-06-13 12:10:00,Alipur,Delhi,28.815691,77.15301,24.0,249.0,30.7,5.8,403
2024-06-13 12:35:00,Alipur,Delhi,28.815691,77.15301,-1.0,249.8,30.6,4.4,403
2024-06-13 12:55:00,Alipur,Delhi,28.815691,77.15301,-1.0,249.8,29.7,4.8,403
2024-06-13 13:10:00,Alipur,Delhi,28.815691,77.15301,-1.0,249.7,28.6,5.0,403
2024-06-13 13:40:00,Alipur,Delhi,28.815691,77.15301,-1.0,249.6,26.3,5.6,403
2024-06-13 13:55:00,Alipur,Delhi,28.815691,77.15301,35.0,213.0,26.9,3.4,371
2024-06-13 14:10:00,Alipur,Delhi,28.815691,77.15301,35.0,213.0,-1.0,-1.0,371
2024-06-13 14:35:00,Alipur,Delhi,28.815691,77.15301,35.0,213.0,-1.0,-1.0,371
2024-06-13 14:55:00,Alipur,Delhi,28.815691,77.15301,41.0,132.0,32.3,3.7,307
2024-06-13 15:10:00,Alipur,Delhi,28.815691,77.15301,41.0,132.0,29.5,1.9,307
2024-06-13 15:35:00,Alipur,Delhi,28.815691,77.15301,41.0,132.0,27.0,0.9,307
2024-06-13 15:55:00,Alipur,Delhi,28.815691,77.15301,25.0,127.0,25.9,0.7,307
2024-06-13 16:10:00,Alipur,Delhi,28.815691,77.15301,25.0,127.0,24.2,0.9,307
2024-06-13 16:35:00,Alipur,Delhi,28.815691,77.15301,25.0,127.0,24.1,-1.0,307
2024-06-13 16:55:00,Alipur,Delhi,28.815691,77.15301,28.0,121.0,23.6,1.6,307
2024-06-13 17:10:00,Alipur,Delhi,28.815691,77.15301,28.0,121.0,23.5,2.1,307
2024-06-13 17:50:00,Alipur,Delhi,28.815691,77.15301,28.0,121.0,23.4,2.8,307
2024-06-13 18:20:00,Alipur,Delhi,28.815691,77.15301,28.0,118.0,23.1,3.2,281
2024-06-13 18:40:00,Alipur,Delhi,28.815691,77.15301,28.0,118.0,23.2,3.5,281
2024-06-13 18:55:00,Alipur,Delhi,28.815691,77.15301,31.0,133.0,23.3,3.6,307
2024-06-13 19:10:00,Alipur,Delhi,28.815691,77.15301,31.0,133.0,22.5,3.0,307
2024-06-13 19:35:00,Alipur,Delhi,28.815691,77.15301,31.0,133.0,23.1,2.7,307
2024-06-13 19:55:00,Alipur,Delhi,28.815691,77.15301,35.0,177.0,22.9,2.9,340
2024-06-13 20:10:00,Alipur,Delhi,28.815691,77.15301,35.0,177.0,22.6,3.9,340
2024-06-13 20:35:00,Alipur,Delhi,28.815691,77.15301,35.0,177.0,22.1,4.4,340
2024-06-13 20:55:00,Alipur,Delhi,28.815691,77.15301,57.0,273.0,20.9,4.0,421
2024-06-13 21:10:00,Alipur,Delhi,28.815691,77.15301,57.0,273.0,21.5,2.6,421
2024-06-13 21:40:00,Alipur,Delhi,28.815691,77.15301,57.0,273.0,20.7,3.5,421
2024-06-13 22:00:00,Alipur,Delhi,28.815691,77.15301,51.0,278.0,20.6,3.6,421
2024-06-13 22:10:00,Alipur,Delhi,28.815691,77.15301,51.0,278.0,20.4,9.4,421
2024-06-13 22:35:00,Alipur,Delhi,28.815691,77.15301,51.0,278.0,21.8,-1.0,421
2024-06-13 22:55:00,Alipur,Delhi,28.815691,77.15301,53.0,316.0,22.1,5.9,441
2024-06-13 23:10:00,Alipur,Delhi,28.815691,77.15301,53.0,316.0,22.1,6.2,441
2024-06-13 23:40:00,Alipur,Delhi,28.815691,77.15301,53.0,316.0,23.5,6.1,441
2024-06-14 00:00:00,Alipur,Delhi,28.815691,77.15301,50.0,278.0,23.9,5.9,421
2024-06-14 00:10:00,Alipur,Delhi,28.815691,77.15301,50.0,278.0,24.1,6.4,421
2024-06-14 00:30:00,Alipur,Delhi,28.815691,77.15301,50.0,278.0,24.3,7.4,421
2024-06-14 00:45:00,Alipur,Delhi,28.815691,77.15301,-1.0,278.0,24.5,7.5,421
2024-06-14 00:55:00,Alipur,Delhi,28.815691,77.15301,48.0,240.0,24.6,7.7,387
2024-06-14 01:10:00,Alipur,Delhi,28.815691,77.15301,48.0,240.0,22.1,8.1,387
2024-06-14 01:35:00,Alipur,Delhi,28.815691,77.15301,48.0,240.0,27.4,8.2,387
2024-06-14 01:55:00,Alipur,Delhi,28.815691,77.15301,42.0,206.0,29.4,8.8,371
2024-06-14 02:10:00,Alipur,Delhi,28.815691,77.15301,42.0,206.0,-1.0,-1.0,371
2024-06-14 02:35:00,Alipur,Delhi,28.815691,77.15301,42.0,206.0,-1.0,-1.0,371
2024-06-14 02:55:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,26.9,4.7,387
2024-06-14 03:10:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,24.8,6.6,387
2024-06-14 03:35:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,24.0,9.8,387
2024-06-14 03:55:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,24.2,12.4,387
2024-06-14 04:10:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,23.2,10.2,387
2024-06-14 04:35:00,Alipur,Delhi,28.815691,77.15301,50.0,239.0,21.3,-1.0,387
2024-06-14 04:55:00,Alipur,Delhi,28.815691,77.15301,46.0,227.0,21.4,6.5,387
2024-06-14 05:10:00,Alipur,Delhi,28.815691,77.15301,46.0,227.0,20.9,5.6,387
2024-06-14 06:35:00,Alipur,Delhi,28.815691,77.15301,42.0,219.0,25.7,5.3,371
2024-06-14 07:25:00,Alipur,Delhi,28.815691,77.15301,38.0,199.0,28.4,7.1,356
2024-06-14 08:00:00,Alipur,Delhi,28.815691,77.15301,42.0,224.0,28.8,6.0,387
2024-06-14 08:10:00,Alipur,Delhi,28.815691,77.15301,42.0,224.0,28.4,6.1,387
2024-06-14 08:35:00,Alipur,Delhi,28.815691,77.15301,42.0,224.0,29.3,6.0,387
2024-06-14 08:55:00,Alipur,Delhi,28.815691,77.15301,45.0,355.0,29.8,5.4,487
2024-06-14 09:10:00,Alipur,Delhi,28.815691,77.15301,45.0,355.0,30.4,4.6,487
2024-06-14 09:40:00,Alipur,Delhi,28.815691,77.15301,45.0,355.0,31.2,4.4,487
2024-06-14 09:55:00,Alipur,Delhi,28.815691,77.15301,48.0,416.0,32.7,4.4,516
2024-06-14 10:10:00,Alipur,Delhi,28.815691,77.15301,48.0,416.0,32.5,4.3,516
2024-06-14 10:35:00,Alipur,Delhi,28.815691,77.15301,48.0,416.0,32.9,-1.0,516
2024-06-14 10:55:00,Alipur,Delhi,28.815691,77.15301,45.0,373.0,34.1,3.7,487
2024-06-14 11:10:00,Alipur,Delhi,28.815691,77.15301,45.0,373.0,33.5,3.4,487
2024-06-14 11:40:00,Alipur,Delhi,28.815691,77.15301,45.0,373.0,33.5,2.9,487
